City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
346,Erzin,TR,36.9559,36.2,74.12,88,45,7.78,scattered clouds
347,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,75,3.74,broken clouds
348,Husavik,IS,66.0449,-17.3389,52.54,55,66,13.24,broken clouds
349,Biak,ID,-0.9131,122.8766,76.69,86,92,5.08,overcast clouds
350,Padang,ID,-0.9492,100.3543,78.44,76,100,3.87,overcast clouds
351,Devils Lake,US,48.1128,-98.8651,68.11,59,75,13.8,broken clouds
352,Futtsu,JP,35.3053,139.8186,69.49,84,23,5.39,few clouds
353,Salalah,OM,17.0151,54.0924,84.29,89,75,8.05,broken clouds
354,Carmelo,UY,-33.9892,-58.2856,59.16,49,17,14.05,few clouds
355,Ust-Nera,RU,64.5667,143.2,40.19,100,100,4.41,light rain
356,Jinchang,CN,38.4953,102.1739,69.91,29,100,8.25,overcast clouds
357,Sur,OM,22.5667,59.5289,91.0,49,13,10.11,few clouds
358,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.72,37,30,3.94,scattered clouds
359,San Agustin,MX,20.5333,-103.4667,81.72,20,1,3.67,clear sky
360,Sosnovoborsk,RU,56.1325,93.3589,33.35,61,86,3.31,overcast clouds
361,Belokurikha,RU,51.9959,84.9896,48.16,76,1,4.43,clear sky
362,Cap Malheureux,MU,-19.9842,57.6142,77.49,89,11,1.99,light rain
363,Nouadhibou,MR,20.931,-17.0347,66.02,89,100,23.58,overcast clouds
364,Zambezi,ZM,-13.5432,23.1047,62.67,30,0,3.36,clear sky
365,Touros,BR,-5.1989,-35.4608,84.06,64,63,18.23,broken clouds
366,Roald,NO,62.5833,6.1333,73.17,51,0,2.3,clear sky
367,Sanmenxia,CN,34.7747,111.1814,74.66,38,62,7.34,light rain
368,Korla,CN,41.7597,86.1469,80.33,22,81,16.67,broken clouds
369,Berlevag,NO,70.8578,29.0864,39.92,79,95,15.7,overcast clouds
370,Emerald,AU,-23.5333,148.1667,53.35,47,90,11.01,overcast clouds
371,Biltine,TD,14.5333,20.9167,99.68,8,7,7.0,clear sky
372,Vila,PT,42.0304,-8.1588,72.73,61,9,6.17,clear sky
373,Qasigiannguit,GL,68.8193,-51.1922,61.05,37,97,21.3,overcast clouds
374,Corrente,BR,-3.7367,-43.3394,92.19,40,67,3.87,broken clouds
375,Felanitx,ES,39.4696,3.1483,80.46,47,0,5.39,clear sky
376,Grand Baie,MU,-20.0182,57.5802,77.47,89,12,1.99,light rain
377,Hami,CN,42.8,93.45,83.12,10,75,8.12,broken clouds
378,Tingi,TZ,-11.3,35.0333,57.78,72,1,2.95,clear sky
379,Lavrentiya,RU,65.5833,-171.0,28.72,85,12,11.43,few clouds
380,Ballina,AU,-28.8667,153.5667,52.95,78,98,15.84,overcast clouds
381,Buchanan,LR,5.8808,-10.0467,84.16,80,98,6.24,moderate rain
382,Maceio,BR,-9.6658,-35.7353,83.64,57,40,9.66,scattered clouds
383,Tabora,TZ,-5.0167,32.8,72.61,54,37,3.4,scattered clouds
384,Samarai,PG,-10.6167,150.6667,77.95,75,98,12.28,overcast clouds
385,Zyryanka,RU,65.75,150.85,47.61,54,5,18.01,clear sky
386,Cabo San Lucas,MX,22.8909,-109.9124,95.81,54,40,3.44,scattered clouds
387,Linqiong,CN,30.4159,103.4609,71.42,69,100,4.45,overcast clouds
388,Odder,DK,55.9731,10.153,68.34,72,8,6.6,clear sky
389,Yamada,JP,39.4667,141.95,55.35,86,28,5.82,scattered clouds
390,Aswan,EG,24.0934,32.907,98.73,9,99,11.18,overcast clouds
391,Nhulunbuy,AU,-12.2333,136.7667,75.81,73,40,8.05,scattered clouds
392,San Andres,CO,12.5847,-81.7006,87.82,70,20,13.8,few clouds
393,San Miguel,SV,13.4833,-88.1833,97.36,35,60,1.59,broken clouds
394,Manadhoo,MV,5.7667,73.3833,83.68,74,66,21.52,broken clouds
395,Mopipi,BW,-21.1833,24.8833,66.56,23,0,4.18,clear sky
396,Chilliwack,CA,49.1747,-121.9443,62.58,60,12,1.66,few clouds
397,Sabang,ID,5.8933,95.3214,83.35,74,100,9.55,light rain
398,Governador Dix-Sept Rosado,BR,-5.4577,-37.5209,95.54,32,11,10.85,few clouds
399,Morros,BR,-9.4467,-46.3003,89.78,25,34,4.99,scattered clouds
400,Havoysund,NO,70.9963,24.6622,41.88,88,97,21.03,overcast clouds
401,Fergus Falls,US,46.283,-96.0776,63.27,40,1,11.01,clear sky
402,Bombay,IN,19.0144,72.8479,87.78,74,75,3.44,moderate rain
403,Koumac,NC,-20.5667,164.2833,68.72,66,93,13.42,overcast clouds
404,Victor Harbor,AU,-35.5667,138.6167,49.8,88,0,6.53,clear sky
405,Whitehorse,CA,60.7161,-135.0538,47.01,56,63,13.0,broken clouds
406,Vardo,NO,70.3705,31.1107,39.54,74,90,15.05,overcast clouds
407,Muros,ES,42.7762,-9.0603,75.69,59,32,13.49,scattered clouds
408,Narsaq,GL,60.9167,-46.05,44.82,74,100,6.4,overcast clouds
409,Caravelas,BR,-17.7125,-39.2481,82.67,63,81,8.81,broken clouds
410,Baijiantan,CN,45.6333,85.1833,82.02,18,96,16.13,overcast clouds
411,Sayyan,YE,15.1718,44.3244,71.2,21,44,10.27,scattered clouds
412,Havelock,US,34.8791,-76.9013,88.05,77,75,13.0,broken clouds
413,Roebourne,AU,-20.7833,117.1333,70.86,73,100,10.67,overcast clouds
414,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,80,79,8.52,broken clouds
415,Atar,MR,20.5169,-13.0499,108.7,8,100,18.05,overcast clouds
